module,submodule,gene,symbol_notes,role_in_hypothesis,scoring_note,on_panel,per_cell_detection_rate_malignant,keep_in_scored_module
Excitability,Nav_alpha,SCN1A,Nav1.1,Intrinsic spiking capacity,Core excitability module,no,,
Excitability,Nav_alpha,SCN2A,Nav1.2,Intrinsic spiking capacity,Core excitability module,yes,,
Excitability,Nav_alpha,SCN3A,Nav1.3 (fetal Nav),Tong trend gene; neurodevelopmental mimicry; watch-list,Core excitability module - highest priority,no,,
Excitability,Nav_alpha,SCN8A,Nav1.6,Intrinsic spiking capacity,Core excitability module,yes,,
Excitability,Nav_alpha,SCN9A,Nav1.7,Intrinsic spiking capacity,Core excitability module,no,,
Excitability,Nav_beta,SCN1B,Nav beta subunit,Modulates Nav; also adhesion,Optional - low expression likely,no,,
Excitability,Nav_beta,SCN2B,Nav beta subunit,Modulates Nav,Optional,no,,
Excitability,Nav_beta,SCN3B,Nav beta subunit,Modulates Nav,Optional,no,,
Excitability,Nav_beta,SCN4B,Nav beta subunit,Modulates Nav,Optional,no,,
Excitability,Kv,KCNB1,Kv2.1,Delayed rectifier; aAP repolarization,Core excitability module,no,,
Excitability,Kv,KCNB2,Kv2.2,Delayed rectifier,Core excitability module,yes,,
Excitability,Kv,KCNA1,Kv1.1,Excitability tuning,Core excitability module,no,,
Excitability,Kv,KCNA2,Kv1.2,Excitability tuning,Core excitability module,yes,,
Excitability,Kv,KCNC1,Kv3.1,Fast-spiking phenotype,Core excitability module,no,,
Excitability,Kv,KCND2,Kv4.2,A-type current,Core excitability module,yes,,
Excitability,Kv,KCND3,Kv4.3,A-type current,Core excitability module,no,,
Excitability,Kv,KCNQ2,Kv7.2 (M-current),Sets threshold/adaptation,Core excitability module,no,,
Excitability,Kv,KCNQ3,Kv7.3 (M-current),Sets threshold/adaptation,Core excitability module,yes,,
Excitability,Kv,KCNQ5,Kv7.5,M-current,Core excitability module,yes,,
Excitability,Kv,KCNH1,Kv10.1 (EAG1),Oncogenic K channel in glioma,Core excitability module,no,,
Excitability,Kv,KCNH2,Kv11.1 (hERG),Excitability; glioma-linked,Core excitability module,no,,
Excitability,Kv_Ca_activated,KCNMA1,BK channel,Tong flags 'K+ Ca2+-activated channel',Core excitability module,yes,,
Excitability,Kv_Ca_activated,KCNN2,SK2,Ca2+-activated K,Core excitability module,yes,,
Excitability,Kv_Ca_activated,KCNN3,SK3,Ca2+-activated K,Core excitability module,no,,
Excitability,Kir,KCNJ2,Kir2.1,Inward rectifier; RMP,Optional - context,yes,,
Excitability,Kir,KCNJ10,Kir4.1 (astrocytic),Astrocytic RMP; low in spiking cells,Discriminator - astrocytic,no,,
Discriminator_Cav,Cav,CACNA1C,Cav1.2,Tong: HIGH in NON-spiking cells,SCORE SEPARATELY - not in excitability module,yes,,
Discriminator_Cav,Cav,CACNA1A,Cav2.1,Ca signaling,Score separately,yes,,
Discriminator_Cav,Cav,CACNA1B,Cav2.2,Ca signaling,Score separately,yes,,
Discriminator_Cav,Cav,CACNA1D,Cav1.3,Ca signaling,Score separately,yes,,
Discriminator_Cav,Cav,CACNA1E,Cav2.3,Ca signaling,Score separately,yes,,
